match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62621,1,2,0,,1,,1934-07-06,Test
62622,1,2,0,,1,,1934-07-20,Test
62623,1,2,2,1,,,1934-08-18,Test
62624,4,1,1,4,,,1935-01-08,Test
62625,4,1,4,1,,,1935-01-24,Test
62626,4,1,0,,1,,1935-02-14,Test
62627,4,1,4,1,,,1935-03-14,Test
62628,1,3,0,,1,,1935-06-15,Test
62629,1,3,3,1,,,1935-06-29,Test
62630,1,3,0,,1,,1935-07-13,Test
62631,1,3,0,,1,,1935-07-27,Test
62632,1,3,0,,1,,1935-08-17,Test
62633,3,2,2,3,,,1935-12-14,Test
62634,3,2,0,,1,,1935-12-24,Test
62635,3,2,2,3,,,1936-01-01,Test
62636,3,2,2,3,,,1936-02-15,Test
62637,3,2,2,3,,,1936-02-28,Test
62638,1,6,1,6,,,1936-06-27,Test
62639,1,6,0,,1,,1936-07-25,Test
62640,1,6,1,6,,,1936-08-15,Test
62641,2,1,1,2,,,1936-12-04,Test
62642,2,1,1,2,,,1936-12-18,Test
62643,2,1,2,1,,,1937-01-01,Test
62644,2,1,2,1,,,1937-01-29,Test
62645,2,1,2,1,,,1937-02-26,Test
62646,1,5,0,,1,,1937-06-26,Test
62647,1,5,1,5,,,1937-07-24,Test
62648,1,5,0,,1,,1937-08-14,Test
62649,1,2,0,,1,,1938-06-10,Test
62650,1,2,0,,1,,1938-06-24,Test
62651,1,2,2,1,,,1938-07-22,Test
62652,1,2,1,2,,,1938-08-20,Test
62653,3,1,0,,1,,1938-12-24,Test
62654,3,1,0,,1,,1938-12-31,Test
62655,3,1,1,3,,,1939-01-20,Test
62656,3,1,0,,1,,1939-02-18,Test
62657,3,1,0,,1,,1939-03-03,Test
62658,1,4,1,4,,,1939-06-24,Test
62659,1,4,0,,1,,1939-07-22,Test
62660,1,4,0,,1,,1939-08-19,Test
62661,5,2,2,5,,,1946-03-29,Test
62662,1,6,1,6,,,1946-06-22,Test
62663,1,6,0,,1,,1946-07-20,Test
62664,1,6,0,,1,,1946-08-17,Test
62665,2,1,2,1,,,1946-11-29,Test
62666,2,1,2,1,,,1946-12-13,Test
62667,2,1,0,,1,,1947-01-01,Test
62668,2,1,0,,1,,1947-01-31,Test
62669,2,1,2,1,,,1947-02-28,Test
62670,5,1,0,,1,,1947-03-21,Test
62671,1,3,0,,1,,1947-06-07,Test
62672,1,3,1,3,,,1947-06-21,Test
62673,1,3,1,3,,,1947-07-05,Test
62674,1,3,1,3,,,1947-07-26,Test
62675,1,3,0,,1,,1947-08-16,Test
62676,2,6,2,6,,,1947-11-28,Test
62677,2,6,0,,1,,1947-12-12,Test
